product_id,product_name,category,subcategory,brand,price,original_price,discount_percent,stock,rating,review_count,sales_count,view_count,cart_add_count,wishlist_count,return_rate,seller_count,shipping_days,is_original,color,weight_grams,demand_score,popularity_score,target_sales_next_7_days
10079,Tamron Premium,Camera,Camera Lens,Tamron,39986550,47043000,15,1038,4.8,5608,12471,1081593,39599,28746,0.049,17,5,1,Blue,3940,81.7,79.7,952
10080,Xiaomi Advanced,Mobile,Smartwatch,Xiaomi,29502720,37824000,22,1394,4.9,8330,15230,1224237,53661,37022,0.036,8,1,1,White,1612,82.2,83.5,513
10081,Vintage Pro,Books,Novel,Vintage,1171280,1331000,12,725,4.1,8537,12361,1176764,37958,13016,0.027,9,5,1,Silver,2335,75.4,74.2,851
10082,Daikin Premium,Home Appliances,Air Conditioner,Daikin,48474660,55718000,13,1616,4.8,19512,19575,1960257,58886,18162,0.024,12,7,1,Blue,394,86.6,96.4,793
10083,Packt Standard,Books,Programming Book,Packt,1549440,2421000,36,476,4.3,13741,22626,1460477,41127,9897,0.017,2,1,1,Gold,873,96.4,79.8,2502
10084,Springer Advanced,Books,Science Book,Springer,2717760,2831000,4,9,4.5,1380,909,124572,2481,3126,0.077,6,4,1,Gray,347,26.0,25.5,48
10085,Sony Xbox Series X,Gaming,Game Console,Sony,68320980,79443000,14,3834,4.6,23159,22889,1947610,87411,43406,0.03,9,2,1,Red,1381,91.4,99.6,1197
10086,Secretlab Plus,Gaming,Gaming Chair,Secretlab,41285080,58148000,29,1016,4.3,5707,15950,1081121,40051,9014,0.054,1,3,1,Gold,2237,91.3,70.8,911
10087,LG Premium,Home Appliances,Refrigerator,LG,49208740,50213000,2,629,3.6,13004,11318,1439300,46206,13111,0.093,8,2,0,Gold,1304,69.5,83.9,408
10088,LG Standard,Home Appliances,Washing Machine,LG,60329280,68556000,12,586,4.3,2111,6384,759217,34946,5437,0.038,18,2,1,Gold,1002,60.7,57.6,350
10089,Apple Standard,Mobile,Tablet,Apple,56205000,62450000,10,4,3.8,617,534,121582,1969,1690,0.007,2,4,1,White,4483,25.4,25.5,12
10090,Adidas 574,Fashion,Sneakers,Adidas,3981000,6635000,40,1104,4.1,5205,6450,802617,52524,14617,0.098,5,6,1,White,1512,78.4,63.0,236
10091,Lenovo Standard,Mobile,Tablet,Lenovo,55960080,63591000,12,338,4.3,6133,16961,1727211,43813,61544,0.058,14,5,1,Black,2021,79.4,76.7,344
10092,Samsung 15,Mobile,Smartphone,Samsung,63568950,65535000,3,294,4.7,4353,4549,456146,26312,4518,0.028,11,5,1,Red,180,40.2,43.4,226
10093,Huawei Plus,Mobile,Smartwatch,Huawei,55674780,63994000,13,24,5,861,825,98823,5753,1596,0.047,6,7,1,Silver,1896,23.5,27.7,70
10094,Adidas Premium,Fashion,Backpack,Adidas,4298880,4478000,4,195,4.2,5868,3176,693111,45552,24016,0.071,2,3,1,Black,646,48.3,65.4,184
10095,GoPro HERO,Camera,Action Camera,GoPro,35844060,57813000,38,82,4.3,2747,2713,246529,13129,7305,0.079,10,4,1,Red,2576,39.4,34.3,134
10096,Springer Advanced,Books,Science Book,Springer,2541960,2763000,8,855,3.7,12558,8490,1180199,65818,6570,0.03,10,2,1,Silver,3161,70.4,75.7,455
10097,Vintage Premium,Books,Novel,Vintage,3895500,3975000,2,2146,4.2,12450,15092,1667684,41896,60249,0.006,2,7,1,Black,102,74.7,90.1,464
10098,Pearson Standard,Books,Science Book,Pearson,3409560,4158000,18,9,4.5,69,236,33491,1518,181,0.044,1,5,1,Green,1518,18.1,16.4,5
10099,DJI HERO,Camera,Action Camera,DJI,65591660,105793000,38,129,3.3,4101,11896,963088,50679,33395,0.053,3,4,1,Gold,509,84.1,73.3,327
10100,Sony EOS R,Camera,Mirrorless Camera,Sony,41857859,63421000,34,2224,3.9,15794,10535,1452332,59767,9628,0.035,19,6,1,Red,332,87.2,84.2,823
10101,MSI Nitro 5,Laptop,Gaming Laptop,MSI,65993899,94277000,30,177,4.1,4767,9967,816620,45474,26676,0.029,2,1,1,White,2495,74.7,68.9,721
10102,8BitDo DualSense,Gaming,Game Controller,8BitDo,44923320,51636000,13,252,3.9,4977,4134,787827,41268,22156,0.028,3,1,1,Green,1313,60.0,63.2,76
10103,GoPro HERO,Camera,Action Camera,GoPro,29957480,30884000,3,788,3.9,2856,6444,941793,18769,22977,0.034,1,3,1,White,4633,61.6,73.0,255
10104,SteelSeries G Pro 15,Digital Products,Mouse,SteelSeries,10259370,10363000,1,1015,4.2,4341,5148,912082,28718,29545,0.065,20,5,1,White,1159,55.1,76.7,181
10105,Nikon Premium,Camera,Camera Lens,Nikon,108985650,178665000,39,251,4.2,2560,3165,285973,11823,3207,0.049,19,7,1,Green,2346,46.7,33.1,97
10106,Samsung P5 Plus 32,Digital Products,SSD,Samsung,13230490,14539000,9,285,4.8,6305,6159,611465,11497,21201,0.035,10,2,1,Gray,3516,52.1,58.3,493
10107,Nike Advanced,Fashion,Backpack,Nike,7916699,11995000,34,1153,3.7,3484,8918,1126473,32276,31838,0.079,13,7,1,Green,917,71.6,72.2,483
10108,Daikin Premium,Home Appliances,Air Conditioner,Daikin,53020500,70694000,25,175,3.9,10995,11752,1234862,28761,49295,0.061,4,7,0,Gray,2903,74.6,84.0,372
10109,Vintage Premium,Books,Novel,Vintage,2783880,2812000,1,31,4.4,988,451,94207,4770,2703,0.019,17,2,1,Red,4636,17.7,23.7,28
10110,Nike Standard,Fashion,Jacket,Nike,14518960,14968000,3,128,4.1,7821,6694,1242440,18940,15552,0.075,19,1,1,Gray,3046,58.8,76.0,230
10111,Tamron Premium,Camera,Camera Lens,Tamron,160260210,161879000,1,34,4.6,7488,5442,738665,39761,11383,0.048,11,1,1,White,1549,53.5,61.9,218
10112,New Balance Ultraboost,Fashion,Sneakers,New Balance,9399180,9591000,2,2,3.9,2062,2416,606230,19582,12600,0.098,16,2,1,Green,4650,40.7,49.6,119
10113,OReilly Standard,Books,Programming Book,OReilly,329960,452000,27,1046,4.2,3415,5666,462983,11228,9725,0.079,4,5,1,Red,4490,51.5,41.5,396
10114,Dell Yoga 65,Laptop,Ultrabook,Dell,22043840,24224000,9,214,4.6,7770,4035,731518,14472,25811,0.048,19,6,1,Green,1779,51.9,71.9,307
10115,Secretlab Advanced,Gaming,Gaming Chair,Secretlab,41621760,43356000,4,60,4.7,6173,4916,561159,33576,5468,0.034,9,7,1,Gray,2095,44.6,52.2,178
10116,Kingston P5 Plus 10,Digital Products,SSD,Kingston,30116790,30421000,1,1511,4.2,18004,8706,1666894,33538,38416,0.01,15,4,1,Black,813,67.9,94.0,424
10117,New Balance Ultraboost,Fashion,Sneakers,New Balance,8260800,8605000,4,188,4.2,5744,15541,1737662,107532,56631,0.107,4,6,1,Gold,183,74.8,81.8,506
10118,Bosch Plus,Home Appliances,Washing Machine,Bosch,45456840,45916000,1,156,4.7,3406,3794,756387,26814,27708,0.038,8,4,1,White,58,48.2,63.0,194
10119,Garmin Pro,Mobile,Smartwatch,Garmin,50682400,63353000,20,136,4.6,9329,12554,1002310,20681,16004,0.036,5,1,1,Black,1394,75.5,82.2,671
10120,OReilly Pro,Books,Programming Book,OReilly,1022960,1346000,24,172,4.4,11503,15249,1236926,42469,24773,0.043,8,5,1,Blue,269,88.2,86.5,618
10121,Nike Plus,Fashion,Jacket,Nike,8005439,8608000,7,220,3.8,3685,4670,506085,34805,20011,0.055,19,4,1,Gray,3908,49.1,51.4,63
10122,Google 13 Pro,Mobile,Smartphone,Google,38262000,45550000,16,312,4.3,10166,10174,1051275,40260,20058,0.054,9,1,1,Silver,253,71.2,80.2,621
10123,Acer Legion 2,Laptop,Gaming Laptop,Acer,51523560,52044000,1,17,4.7,2325,4624,911678,47073,25556,0.071,1,2,1,Red,2161,58.2,68.3,259
10124,Lenovo Advanced,Mobile,Tablet,Lenovo,75895380,76662000,1,290,4.6,17559,10173,1494350,73991,33421,0.069,6,3,1,White,4751,73.6,92.3,479
10125,Samsung 16,Mobile,Smartphone,Samsung,51807510,55707000,7,63,4.7,741,2747,315250,18653,9454,0.065,14,6,1,White,223,33.7,37.1,174
10126,Samsung Premium,Mobile,Tablet,Samsung,33301480,45002000,26,311,5,3438,5405,652080,29617,3442,0.075,20,2,1,Gold,1650,62.6,55.2,377
10127,OnePlus 14,Mobile,Smartphone,OnePlus,5831910,9257000,37,0,4.3,33,45,3566,113,43,0.078,5,6,1,Black,179,31.0,17.6,3
10128,Apple EliteBook 4,Laptop,Ultrabook,Apple,73499910,103521000,29,40,4.0,1246,1148,157430,2900,4437,0.063,13,6,1,Red,2402,29.9,24.0,81
10129,Lenovo ThinkPad 15,Laptop,Laptop,Lenovo,77031700,81086000,5,43,3.4,1034,1085,253703,8107,3621,0.032,10,7,1,Black,1980,27.3,26.1,18
10130,Garmin Advanced,Mobile,Smartwatch,Garmin,30789000,30789000,0,35,4.1,8949,3498,848571,38675,20581,0.011,4,1,1,Silver,1120,51.1,71.8,212
10131,Sony PlayStation 5,Gaming,Game Console,Sony,20406539,30919000,34,293,4.4,9744,14486,930442,55350,8642,0.026,14,7,1,Gold,291,85.5,73.9,798
10132,OReilly Standard,Books,Programming Book,OReilly,1836790,2213000,17,102,4.2,6406,7545,1046751,47405,7467,0.073,17,2,1,Black,3183,75.7,71.2,392
10133,Nikon Plus,Camera,Camera Lens,Nikon,14090400,14832000,5,119,4.9,2211,3116,459818,27348,9890,0.076,6,1,1,Silver,2233,42.4,48.7,217
10134,Adidas Plus,Fashion,Jacket,Adidas,3762500,4375000,14,1162,4.4,15865,16715,1691245,58742,43472,0.08,19,2,1,Silver,4082,84.8,89.8,280
10135,Xiaomi Pro,Mobile,Smartwatch,Xiaomi,33462650,51481000,35,36,4.4,1596,3191,423001,25013,14968,0.028,4,7,1,Red,644,48.9,47.2,136
10136,Keychron K8 27,Digital Products,Keyboard,Keychron,21161140,21593000,2,179,4.0,10535,5783,1179051,77919,38371,0.069,13,3,1,Blue,1093,61.8,80.2,314
10137,OnePlus 14,Mobile,Smartphone,OnePlus,30670990,36953000,17,45,4.5,2068,1454,218834,6146,8618,0.009,11,4,1,Silver,181,32.5,32.1,111
10138,HarperCollins Plus,Books,Novel,HarperCollins,3195990,3591000,11,461,4.2,4380,7679,794717,28326,27026,0.072,6,4,1,Black,2465,55.0,65.1,168
10139,Apple WH 9,Digital Products,Headphones,Apple,23838000,39730000,40,210,4.2,21406,16588,1873731,45109,67719,0.042,7,4,1,Blue,324,90.3,93.6,866
10140,Samsung Premium,Mobile,Tablet,Samsung,18705600,19485000,4,167,4.3,11459,7336,1388857,57523,11658,0.019,16,7,1,Green,3907,68.5,81.7,159
10141,Adidas Premium,Fashion,Jacket,Adidas,1181760,1231000,4,554,4.2,7457,4494,975797,22747,28665,0.071,14,7,1,Black,3221,61.6,78.9,237
10142,Daikin Pro,Home Appliances,Air Conditioner,Daikin,40753019,61747000,34,1207,5.0,3517,19168,1498507,69556,34598,0.038,4,7,1,Gray,1785,99.8,76.4,1295
10143,Kingston KC3000 32,Digital Products,SSD,Kingston,53172900,53710000,1,535,3.9,8605,3005,814402,35493,30214,0.047,14,1,1,Gray,4691,52.3,75.1,225
10144,HP TUF Gaming 10,Laptop,Gaming Laptop,HP,50796600,54620000,7,822,4.1,7865,6719,1018845,41790,11234,0.03,2,4,1,Red,2073,62.2,74.8,201
10145,Nintendo Xbox Wireless Controller,Gaming,Game Controller,Nintendo,10902530,17873000,39,192,4.9,3077,5695,478561,28914,6905,0.037,15,2,0,Green,4018,61.6,50.2,518
10146,Cougar Plus,Gaming,Gaming Chair,Cougar,49391729,73719000,33,0,5,228,444,61208,3864,736,0.033,12,6,1,Red,3852,30.9,24.4,11
10147,Manning Standard,Books,Programming Book,Manning,4433040,4716000,6,109,4.4,3540,1603,343412,6858,2046,0.056,8,6,1,Silver,2254,32.4,38.3,128
10148,Packt Standard,Books,Programming Book,Packt,260930,269000,3,771,4.1,12827,9314,1276289,40586,49578,0.043,12,4,1,Gold,2525,70.0,90.0,293
10149,DJI X,Camera,Action Camera,DJI,32704200,36338000,10,153,4.8,7491,7696,705737,20722,21093,0.042,17,7,1,Black,4965,55.7,65.9,169
10150,8BitDo Xbox Wireless Controller,Gaming,Game Controller,8BitDo,43036070,55891000,23,547,4.3,11107,14087,1223189,56832,14246,0.015,16,6,1,Blue,1442,87.5,83.8,370
10151,Secretlab Advanced,Gaming,Gaming Chair,Secretlab,16202880,16704000,3,481,4.3,4632,2643,468852,15576,6619,0.027,2,7,1,White,3918,40.7,46.3,163
10152,Apple S24,Mobile,Smartphone,Apple,48680880,52914000,8,82,4.0,13055,11094,1194625,82746,11961,0.018,16,3,1,Gray,190,75.2,77.3,388
10153,Samsung UltraGear 24,Digital Products,Monitor,Samsung,24547320,29223000,16,780,3.9,1732,9555,846477,37548,25879,0.049,1,6,1,Silver,1903,68.7,63.2,226
10154,Sony QuietComfort 7,Digital Products,Headphones,Sony,23622830,30679000,23,2007,4.5,9060,8801,1251178,48610,36330,0.049,12,7,1,Green,189,75.1,86.1,276
10155,Bose WH 10,Digital Products,Headphones,Bose,48343350,58245000,17,853,4.2,19329,8717,1617927,83174,45099,0.037,15,4,1,Blue,422,76.9,93.6,429
10156,ASUS Yoga 24,Laptop,Ultrabook,ASUS,78510990,99381000,21,54,4.3,9057,5765,878841,18253,26503,0.073,16,2,1,Blue,1926,61.0,76.2,173
10157,Springer Pro,Books,Science Book,Springer,246240,304000,19,1048,4.7,13204,11991,1902365,127876,61414,0.047,8,4,0,Blue,2213,80.9,87.1,307
10158,Sony Pro,Camera,Camera Lens,Sony,20029000,20029000,0,47,4.6,2510,1823,290734,7087,5091,0.041,12,7,1,White,3333,26.7,36.0,124
10159,Adidas Pro,Fashion,Backpack,Adidas,2136800,2671000,20,156,5.0,375,1303,123490,8041,2703,0.04,13,7,1,Black,1120,29.9,26.8,106
10160,Canon Z,Camera,Mirrorless Camera,Canon,126788640,144078000,12,1313,4.2,12025,11587,1469723,57035,44727,0.07,13,2,1,Black,323,78.0,84.1,905
10161,Lenovo Legion 9,Laptop,Gaming Laptop,Lenovo,141271680,147158000,4,1020,4.4,6416,9239,1063607,29701,22408,0.012,15,3,1,Gold,1172,63.2,77.4,358
